0.200000,-2624.110064
0.300000,-1225.084325
0.400000,-750.519517
0.500000,-539.511971
0.600000,-430.463753
0.700000,-368.595285
0.800000,-331.403667
0.900000,-308.377515
1.000000,-294.080935
1.100000,-285.448880
1.200000,-280.629242
1.300000,-278.443180
1.400000,-278.110714
1.500000,-279.100129
1.600000,-281.040247
1.700000,-283.666906
1.800000,-286.789090
1.900000,-290.266833
2.000000,-293.996441
2.100000,-297.900393
2.200000,-301.920301
2.300000,-306.011944
2.400000,-310.141685
2.500000,-314.283880
2.600000,-318.418967
2.700000,-322.532041
2.800000,-326.611792
2.900000,-330.649695
